type_id:ID,:LABEL,label,category,unit,variable_name,source_tables,year_count,comparable_across_years,presence_count,quality
VAR_POT_XX_B,E55_Type,Bushels of potatoes produced in the past year,AGR,bushels,POT_XX_B,"1851:V2T6,1861:V2T11,1871:V1T1,1881:V3T24,1891:V4T2",5,true,6441,signal
VAR_ROOT_CX_B,E55_Type,Bushels of carrots produced in the past year,AGR,bushels,ROOT_CX_B,"1851:V2T6,1861:V2T11",2,true,1277,signal
VAR_ROOT_MW_A,E55_Type,Acres of mangel wurtzel,AGR,acres,ROOT_MW_A,1861:V2T11,1,false,445,signal
VAR_ROOT_MW_B,E55_Type,Bushels of mangel wurtzel produced in the past year,AGR,bushels,ROOT_MW_B,"1851:V2T6,1861:V2T11",2,true,936,signal
VAR_ROOT_OTH_B,E55_Type,Bushels of other root crops produced in the past year,AGR,bushels,ROOT_OTH_B,"1871:V1T1,1881:V3T24",2,true,2078,signal
VAR_ROOT_TX_A,E55_Type,Acres of turnips,AGR,acres,ROOT_TX_A,"1851:V2T6,1861:V2T11,1891:V4T2",3,true,3817,signal
VAR_ROOT_TX_B,E55_Type,Bushels of turnips produced in the past year,AGR,bushels,ROOT_TX_B,"1851:V2T6,1861:V2T11,1871:V1T1,1881:V3T24,1891:V4T2",5,true,6051,signal
VAR_RYE_XX_A,E55_Type,Acres of rye,AGR,acres,RYE_XX_A,"1851:V2T6,1861:V2T11",2,true,1389,signal
VAR_RYE_XX_B,E55_Type,Bushels of rye produced in the past year,AGR,bushels,RYE_XX_B,"1851:V2T6,1861:V2T11,1881:V3T24,1891:V4T2",4,true,3996,signal
VAR_SHP_WC_LB,E55_Type,Pounds of coarse wool produced on farms in the past year,AGR,pounds,SHP_WC_LB,1891:V4T3,1,false,2332,signal
VAR_SHP_WF_LB,E55_Type,Pounds of fine wool produced on farms in the past year,AGR,pounds,SHP_WF_LB,1891:V4T3,1,false,1599,signal
VAR_SHP_WX_LB,E55_Type,Pounds of wool produced on farms in the past year,AGR,pounds,SHP_WX_LB,"1851:V2T6,1861:V2T11",2,true,1756,signal
VAR_SHP_XS_N,E55_Type,Number of sheep slaughtered or sold,AGR,head,SHP_XS_N,1891:V4T3,1,false,2266,signal
VAR_SHP_XX_N,E55_Type,Number of sheep,AGR,head,SHP_XX_N,"1851:V2T6,1861:V2T11,1871:V1T1,1891:V4T3",4,true,4279,signal
VAR_SILO_XX_T,E55_Type,Capacity of silos (tons),AGR,gallons,SILO_XX_T,1891:V2T16,1,false,373,signal
VAR_STO_XX_V,E55_Type,Value of all livestock,AGR,dollars,STO_XX_V,1861:V2T11,1,false,1062,signal
VAR_SWN_PX_BL,E55_Type,Barrels of pork produced in the past year,AGR,barrels,SWN_PX_BL,"1851:V2T6,1861:V2T11",2,true,1746,signal
VAR_SWN_XS_N,E55_Type,Number of swine slaughtered or sold,AGR,head,SWN_XS_N,1891:V4T3,1,false,2376,signal
VAR_SWN_XX_N,E55_Type,Number of swine,AGR,head,SWN_XX_N,"1851:V2T6,1861:V2T11,1871:V1T1,1891:V4T3",4,true,4369,signal
VAR_TOB_XX_LB,E55_Type,Pounds of tobacco produced in the past year,AGR,pounds,TOB_XX_LB,"1851:V2T6,1871:V1T1",2,true,451,signal
VAR_WHT_SX_A,E55_Type,Acres of spring wheat,AGR,acres,WHT_SX_A,1861:V2T11,1,false,988,signal
VAR_WHT_SX_B,E55_Type,Bushels of spring wheat produced in the past year,AGR,bushels,WHT_SX_B,"1861:V2T11,1881:V3T24,1891:V4T2",3,true,5058,signal
VAR_WHT_WX_A,E55_Type,Acres of winter wheat,AGR,acres,WHT_WX_A,1861:V2T11,1,false,574,signal
VAR_WHT_WX_B,E55_Type,Bushels of winter wheat produced in the past year,AGR,bushels,WHT_WX_B,"1861:V2T11,1871:V1T1,1881:V3T24,1891:V4T2",4,true,2577,signal
VAR_WHT_XX_A,E55_Type,Acres of wheat,AGR,acres,WHT_XX_A,"1851:V2T6,1881:V3T24,1891:V4T2",3,true,4930,signal
VAR_WHT_XX_B,E55_Type,Bushels of wheat produced in the past year,AGR,bushels,WHT_XX_B,"1851:V2T6,1871:V1T1",2,true,870,signal
VAR_BLD_CX_N,E55_Type,Number of churches,BLD,buildings,BLD_CX_N,1871:V1T1,1,false,64,sparse
VAR_BLD_SX_N,E55_Type,Number or schoolhouses,BLD,buildings,BLD_SX_N,1871:V1T1,1,false,69,sparse
VAR_HOUSE_01R_N,E55_Type,Number of houses of 1 room,BLD,buildings,HOUSE_01R_N,1891:V1T2,1,false,1605,signal
VAR_HOUSE_01S_N,E55_Type,Number of houses of 1 story,BLD,buildings,HOUSE_01S_N,1891:V1T2,1,false,2463,signal
VAR_HOUSE_02R_N,E55_Type,Number of houses of 2 rooms,BLD,buildings,HOUSE_02R_N,1891:V1T2,1,false,2378,signal
VAR_HOUSE_02S_N,E55_Type,Number of houses of 2 stories,BLD,buildings,HOUSE_02S_N,1891:V1T2,1,false,2332,signal
VAR_HOUSE_03R_N,E55_Type,Number of houses of 3 rooms,BLD,buildings,HOUSE_03R_N,1891:V1T2,1,false,2423,signal
VAR_HOUSE_03S_N,E55_Type,Number of houses of 3 stories,BLD,buildings,HOUSE_03S_N,1891:V1T2,1,false,1063,signal
VAR_HOUSE_04R_N,E55_Type,Number of houses of 4 rooms,BLD,buildings,HOUSE_04R_N,1891:V1T2,1,false,2448,signal
VAR_HOUSE_05R_N,E55_Type,Number of houses of 5 rooms,BLD,buildings,HOUSE_05R_N,1891:V1T2,1,false,2431,signal
VAR_HOUSE_06to10R_N,E55_Type,Number of houses of 6 to 10 rooms,BLD,buildings,HOUSE_06to10R_N,1891:V1T2,1,false,2441,signal
VAR_HOUSE_11to15R_N,E55_Type,Number of houses of 11 to 15 rooms,BLD,buildings,HOUSE_11to15R_N,1891:V1T2,1,false,2155,signal
VAR_HOUSE_BX_N,E55_Type,Number of houses built of brick,BLD,buildings,HOUSE_BX_N,1891:V1T2,1,false,1331,signal
VAR_HOUSE_ov04S_N,E55_Type,Number of houses of more than 3 stories,BLD,buildings,HOUSE_ov04S_N,1891:V1T2,1,false,307,signal
VAR_HOUSE_ov16R_N,E55_Type,Number of houses of over 15 rooms,BLD,buildings,HOUSE_ov16R_N,1891:V1T2,1,false,1514,signal
VAR_HOUSE_SX_N,E55_Type,Number of houses built of stone,BLD,buildings,HOUSE_SX_N,1891:V1T2,1,false,1123,signal
VAR_HOUSE_TS_N,E55_Type,Number of dwellings that are temporary shanties,BLD,buildings,HOUSE_TS_N,"1871:V1T1,1881:V1T1",2,true,912,signal
VAR_HOUSE_TV_N,E55_Type,Number of dwellings that are temporary vessels,BLD,buildings,HOUSE_TV_N,"1871:V1T1,1881:V1T1",2,true,108,signal
VAR_HOUSE_TX_N,E55_Type,Number of dwellings that are vessels and shanties,BLD,buildings,HOUSE_TX_N,1891:V1T2,1,false,890,signal
VAR_HOUSE_WX_N,E55_Type,Number of houses built of wood,BLD,buildings,HOUSE_WX_N,1891:V1T2,1,false,2467,signal
VAR_HOUSE_XC_N,E55_Type,Number of houses under construction,BLD,buildings,HOUSE_XC_N,"1871:V1T1,1881:V1T1,1891:V1T2",3,true,4959,signal
VAR_HOUSE_XI_N,E55_Type,Number of inhabited houses,BLD,buildings,HOUSE_XI_N,"1871:V1T1,1881:V1T1",2,true,3836,signal
VAR_HOUSE_XO_N,E55_Type,Number of occupied houses,BLD,buildings,HOUSE_XO_N,"1871:V1T1,1881:V1T1,1891:V1T2",3,true,6310,signal
VAR_HOUSE_XU_N,E55_Type,Number of uninhabited houses,BLD,buildings,HOUSE_XU_N,"1871:V1T1,1881:V1T1,1891:V1T2",3,true,5805,signal
VAR_HOUSE_XX_N,E55_Type,Number of houses,BLD,buildings,HOUSE_XX_N,"1891:V1T2,1901:V1T7",2,true,5652,signal
VAR_DTH_01to02F_N,E55_Type,Deaths in the past year among females aged 1 to 2,DTH,deaths,DTH_01to02F_N,"1851:V1T3,1861:V1T5",2,true,861,signal
VAR_DTH_01to02M_N,E55_Type,Deaths in the past year among males aged 1 to 2,DTH,deaths,DTH_01to02M_N,"1851:V1T3,1861:V1T5",2,true,877,signal
VAR_DTH_02to03F_N,E55_Type,Deaths in the past year among females aged 2 to 3,DTH,deaths,DTH_02to03F_N,"1851:V1T3,1861:V1T5",2,true,559,signal
VAR_DTH_02to03M_N,E55_Type,Deaths in the past year among males aged 2 to 3,DTH,deaths,DTH_02to03M_N,"1851:V1T3,1861:V1T5",2,true,582,signal
VAR_DTH_03to04F_N,E55_Type,Deaths in the past year among females aged 3 to 4,DTH,deaths,DTH_03to04F_N,"1851:V1T3,1861:V1T5",2,true,424,signal
VAR_DTH_03to04M_N,E55_Type,Deaths in the past year among males age 3 to 4,DTH,deaths,DTH_03to04M_N,"1851:V1T3,1861:V1T5",2,true,449,signal
VAR_DTH_04to05F_N,E55_Type,Deaths in the past year among females aged 4 to 5,DTH,deaths,DTH_04to05F_N,"1851:V1T3,1861:V1T5",2,true,341,signal
VAR_DTH_04to05M_N,E55_Type,Deaths in the past year among males aged 4 to 5,DTH,deaths,DTH_04to05M_N,"1851:V1T3,1861:V1T5",2,true,336,signal
VAR_DTH_05to10F_N,E55_Type,Deaths in the past year among females aged 5 to 10,DTH,deaths,DTH_05to10F_N,"1851:V1T3,1861:V1T5",2,true,604,signal
VAR_DTH_05to10M_N,E55_Type,Deaths in the past year among males aged 5 to 10,DTH,deaths,DTH_05to10M_N,"1851:V1T3,1861:V1T5",2,true,635,signal
VAR_DTH_0to01F_N,E55_Type,Deaths in the past year among females under age 1,DTH,deaths,DTH_0to01F_N,"1851:V1T3,1861:V1T5",2,true,1309,signal
VAR_DTH_0to01M_N,E55_Type,Deaths in the past year among males under age 1,DTH,deaths,DTH_0to01M_N,"1851:V1T3,1861:V1T5",2,true,1377,signal
VAR_DTH_10to15F_N,E55_Type,Deaths in the past year among females aged 10 to 15,DTH,deaths,DTH_10to15F_N,"1851:V1T3,1861:V1T5",2,true,444,signal
VAR_DTH_10to15M_N,E55_Type,Deaths in the past year among males aged 10 to 15,DTH,deaths,DTH_10to15M_N,"1851:V1T3,1861:V1T5",2,true,432,signal
VAR_DTH_15to20F_N,E55_Type,Deaths in the past year among females aged 15 to 20,DTH,deaths,DTH_15to20F_N,"1851:V1T3,1861:V1T5",2,true,505,signal
VAR_DTH_15to20M_N,E55_Type,Deaths in the past year among males aged 15 to 20,DTH,deaths,DTH_15to20M_N,"1851:V1T3,1861:V1T5",2,true,492,signal
VAR_DTH_20to30F_N,E55_Type,Deaths in the past year among females aged 20 to 30,DTH,deaths,DTH_20to30F_N,"1851:V1T3,1861:V1T5",2,true,790,signal
VAR_DTH_20to30M_N,E55_Type,Deaths in the past year among males aged 20 to 30,DTH,deaths,DTH_20to30M_N,"1851:V1T3,1861:V1T5",2,true,724,signal
VAR_DTH_30to40F_N,E55_Type,Deaths in the past year among females aged 30 to 40,DTH,deaths,DTH_30to40F_N,"1851:V1T3,1861:V1T5",2,true,734,signal
VAR_DTH_30to40M_N,E55_Type,Deaths in the past year among males aged 30 to 40,DTH,deaths,DTH_30to40M_N,"1851:V1T3,1861:V1T5",2,true,607,signal
VAR_DTH_40to50F_N,E55_Type,Deaths in the past year among females aged 40 to 50,DTH,deaths,DTH_40to50F_N,"1851:V1T3,1861:V1T5",2,true,552,signal
VAR_DTH_40to50M_N,E55_Type,Deaths in the past year among males aged 40 to 50,DTH,deaths,DTH_40to50M_N,"1851:V1T3,1861:V1T5",2,true,607,signal
VAR_DTH_50to60F_N,E55_Type,Deaths in the past year among females aged 50 to 60,DTH,deaths,DTH_50to60F_N,"1851:V1T3,1861:V1T5",2,true,489,signal
VAR_DTH_50to60M_N,E55_Type,Deaths in the past year among males aged 50 to 60,DTH,deaths,DTH_50to60M_N,"1851:V1T3,1861:V1T5",2,true,585,signal
VAR_DTH_60to70F_N,E55_Type,Deaths in the past year among females aged 60 to 70,DTH,deaths,DTH_60to70F_N,"1851:V1T3,1861:V1T5",2,true,533,signal
VAR_DTH_60to70M_N,E55_Type,Deaths in the past year among males aged 60 to 70,DTH,deaths,DTH_60to70M_N,"1851:V1T3,1861:V1T5",2,true,619,signal
VAR_DTH_70to80F_N,E55_Type,Deaths in the past year among females aged 70 to 80,DTH,deaths,DTH_70to80F_N,"1851:V1T3,1861:V1T5",2,true,480,signal
VAR_DTH_70to80M_N,E55_Type,Deaths in the past year among males aged 70 to 80,DTH,deaths,DTH_70to80M_N,"1851:V1T3,1861:V1T5",2,true,575,signal
VAR_DTH_80to90F_N,E55_Type,Deaths in the past year among females aged 80 to 90,DTH,deaths,DTH_80to90F_N,"1851:V1T3,1861:V1T5",2,true,266,signal
VAR_DTH_80to90M_N,E55_Type,Deaths in the past year among males aged 80 to 90,DTH,deaths,DTH_80to90M_N,"1851:V1T3,1861:V1T5",2,true,371,signal
VAR_DTH_90to100F_N,E55_Type,Deaths in the past year among females aged 90 to 100,DTH,deaths,DTH_90to100F_N,"1851:V1T3,1861:V1T5",2,true,100,signal
VAR_DTH_90to100M_N,E55_Type,Deaths in the past year among males aged 90 to 100,DTH,deaths,DTH_90to100M_N,"1851:V1T3,1861:V1T5",2,true,99,sparse
VAR_DTH_BR_PR,E55_Type,Ratio of deaths to births in the past year,DTH,ratio,DTH_BR_PR,,0,false,0,undocumented
VAR_DTH_FX_N,E55_Type,Deaths in the past year among females of all ages,DTH,deaths,DTH_FX_N,"1851:V1T3,1861:V1T5",2,true,1761,signal
VAR_DTH_MX_N,E55_Type,Deaths in the past year among males of all ages,DTH,deaths,DTH_MX_N,"1851:V1T3,1861:V1T5",2,true,1779,signal
VAR_DTH_NF_N,E55_Type,Deaths in the past year among females of unknown age,DTH,deaths,DTH_NF_N,"1851:V1T3,1861:V1T5",2,true,567,signal
VAR_DTH_NM_N,E55_Type,Deaths in the past year among males of unknown age,DTH,deaths,DTH_NM_N,"1851:V1T3,1861:V1T5",2,true,654,signal
VAR_DTH_ov100F_N,E55_Type,Deaths in the past year among females over 100,DTH,deaths,DTH_ov100F_N,"1851:V1T3,1861:V1T5",2,true,24,sparse
VAR_DTH_ov100M_N,E55_Type,Deaths in the past year among males over 100,DTH,deaths,DTH_ov100M_N,"1851:V1T3,1861:V1T5",2,true,10,sparse
VAR_DTH_XX_N,E55_Type,Total number of deaths in the past year,DTH,persons,DTH_XX_N,"1851:V1T3,1861:V1T5,1871:V1T1",3,true,1905,signal
VAR_ETH_FC_N,E55_Type,Number of French Canadians,ETH,persons,ETH_FC_N,"1851:V1T1,1861:V1T1,1891:V1T3",3,true,3665,signal
VAR_ETH_FI_N,E55_Type,Number of Indigenous females,ETH,persons,ETH_FI_N,"1851:V1T3,1861:V1T5,1871:V1T1",3,true,179,signal
VAR_ETH_FN_N,E55_Type,Number of female negroes or coloured persons,ETH,persons,ETH_FN_N,"1851:V1T3,1861:V1T5",2,true,271,signal
VAR_ETH_MI_N,E55_Type,Number of Indigenous males,ETH,persons,ETH_MI_N,"1851:V1T3,1861:V1T5,1871:V1T1",3,true,218,signal
VAR_ETH_MN_N,E55_Type,Number of male negroes or coloured persons,ETH,persons,ETH_MN_N,"1851:V1T3,1861:V1T5",2,true,335,signal
VAR_ETH_NFC_N,E55_Type,Number of persons who are not French Canadian,ETH,persons,ETH_NFC_N,1891:V1T3,1,false,2366,signal
VAR_ETH_XA_N,E55_Type,"Number of persons native to Canada, not of French origin",ETH,persons,ETH_XA_N,"1851:V1T1,1861:V1T1",2,true,1846,signal
VAR_ETH_XI_N,E55_Type,Number of Indigenous persons,ETH,persons,ETH_XI_N,"1851:V1T1,1861:V1T1",2,true,144,signal
VAR_ETH_XN_N,E55_Type,Number of negroes or coloured persons,ETH,persons,ETH_XN_N,"1851:V1T1,1861:V1T1",2,true,228,signal
VAR_ORIG_AT_HU_N,E55_Type,Number of persons originating in Austria or Hungary,ETH,persons,ORIG_AT_HU_N,1851:V1T1,1,false,8,sparse
VAR_ORIG_BI_N,E55_Type,"Number of persons originating in Guernsey, Jersey, or other British islands",ETH,persons,ORIG_BI_N,1861:V1T1,1,false,246,signal
VAR_ORIG_BP_N,E55_Type,Number of persons originating in the British Provinces,ETH,persons,ORIG_BP_N,1871:V1T1,1,false,71,sparse
VAR_ORIG_CH_N,E55_Type,Number of persons originating in Switzerland,ETH,persons,ORIG_CH_N,"1851:V1T1,1861:V1T1",2,true,224,signal
VAR_ORIG_DE_NL_N,E55_Type,Number of persons originating in Germany or Holland,ETH,persons,ORIG_DE_NL_N,"1851:V1T1,1861:V1T1",2,true,759,signal
VAR_ORIG_EI_N,E55_Type,Number of persons originating in the East Indies,ETH,persons,ORIG_EI_N,"1851:V1T1,1861:V1T1",2,true,184,signal
VAR_ORIG_EN_N,E55_Type,Number of persons originating in England,ETH,persons,ORIG_EN_N,1871:V1T1,1,false,70,sparse
VAR_ORIG_ES_PT_N,E55_Type,Number of persons originating in Spain or Portugal,ETH,persons,ORIG_ES_PT_N,"1851:V1T1,1861:V1T1",2,true,140,signal
VAR_ORIG_EW_N,E55_Type,Number of persons originating in England or Wales,ETH,persons,ORIG_EW_N,"1851:V1T1,1861:V1T1",2,true,1642,signal
VAR_ORIG_FR_N,E55_Type,Number of persons originating in France,ETH,persons,ORIG_FR_N,"1851:V1T1,1861:V1T1",2,true,652,signal
VAR_ORIG_GG_N,E55_Type,Number of persons originating in Guernsey,ETH,persons,ORIG_GG_N,1851:V1T1,1,false,28,sparse
VAR_ORIG_IR_N,E55_Type,Number of persons originating in Ireland,ETH,persons,ORIG_IR_N,"1851:V1T1,1861:V1T1,1871:V1T1",3,true,1802,signal
VAR_ORIG_IT_GR_N,E55_Type,Number of persons originating in Italy or Greece,ETH,persons,ORIG_IT_GR_N,"1851:V1T1,1861:V1T1",2,true,135,signal
VAR_ORIG_JI_N,E55_Type,Number of persons originating in Jersey or other British islands,ETH,persons,ORIG_JI_N,1851:V1T1,1,false,76,sparse
VAR_ORIG_NB_N,E55_Type,Number of persons originating in New Brunswick,ETH,persons,ORIG_NB_N,"1851:V1T1,1861:V1T1",2,true,673,signal
VAR_ORIG_NF_N,E55_Type,Number of persons originating in Newfoundland,ETH,persons,ORIG_NF_N,"1851:V1T1,1861:V1T1",2,true,228,signal
VAR_ORIG_NS_PEI_N,E55_Type,Number of persons originating in Nova Scotia or Prince Edward Island,ETH,persons,ORIG_NS_PEI_N,"1851:V1T1,1861:V1T1",2,true,764,signal
VAR_ORIG_NX_N,E55_Type,Number of persons whose origin is unknown,ETH,persons,ORIG_NX_N,"1851:V1T1,1861:V1T1",2,true,383,signal
VAR_ORIG_OTH_N,E55_Type,Number of persons originating in all other places,ETH,persons,ORIG_OTH_N,"1851:V1T1,1861:V1T1,1871:V1T1",3,true,465,signal
VAR_ORIG_PE_N,E55_Type,Number of persons originating in Prince Edward Island,ETH,persons,ORIG_PE_N,1871:V1T1,1,false,71,sparse
VAR_ORIG_RU_PL_N,E55_Type,Number of persons originating in Russia or Poland,ETH,persons,ORIG_RU_PL_N,1861:V1T1,1,false,80,sparse
VAR_ORIG_RU_PR_PL_N,E55_Type,"Number of persons originating in Russia, Prussia, or Poland",ETH,persons,ORIG_RU_PR_PL_N,1851:V1T1,1,false,35,sparse
VAR_ORIG_SC_N,E55_Type,Number of persons originating in Scotland,ETH,persons,ORIG_SC_N,"1851:V1T1,1861:V1T1,1871:V1T1",3,true,1635,signal
VAR_ORIG_SE_NO_N,E55_Type,Number of persons originating in Sweden or Norway,ETH,persons,ORIG_SE_NO_N,"1851:V1T1,1861:V1T1",2,true,169,signal
VAR_ORIG_US_N,E55_Type,Number of persons originating in the United States,ETH,persons,ORIG_US_N,"1851:V1T1,1861:V1T1",2,true,1500,signal
VAR_ORIG_WI_N,E55_Type,Number of persons originating in the West Indies,ETH,persons,ORIG_WI_N,"1851:V1T1,1861:V1T1",2,true,346,signal
VAR_FISH_BL_N,E55_Type,Number of fishing barrels produced in the past year,FSH,count,FISH_BL_N,1871:V1T1,1,false,22,sparse
VAR_FISH_BLM_N,E55_Type,Number of cooper's shops,FSH,count,FISH_BLM_N,1871:V1T1,1,false,19,sparse
VAR_FISH_BM_N,E55_Type,Number of men on fishing boats,FSH,persons,FISH_BM_N,1881:V3T27,1,false,376,signal
VAR_FISH_BX_N,E55_Type,Number of fishing boats,FSH,count,FISH_BX_N,"1871:V1T1,1881:V3T27",2,true,433,signal
VAR_FISH_CH_Q,E55_Type,Quintals of codfish or hake produced in the past year,FSH,quintals,FISH_CH_Q,1871:V1T1,1,false,52,sparse
VAR_FISH_CX_Q,E55_Type,Quintals of cod produced in the past year,FSH,quintals,FISH_CX_Q,1881:V3T27,1,false,341,signal
VAR_FISH_EE_BL,E55_Type,Barrels of eels produced in the past year,FSH,barrels,FISH_EE_BL,1881:V3T27,1,false,180,signal
VAR_FISH_EX_N,E55_Type,Number of men employed in fishing,FSH,persons,FISH_EX_N,1871:V1T1,1,false,44,sparse
VAR_FISH_FX_Q,E55_Type,Quintals of fascines fish produced in the past year,FSH,quintals,FISH_FX_Q,1881:V3T27,1,false,131,signal
VAR_FISH_GX_BL,E55_Type,Barrels of gaspareaux produced in the past year,FSH,barrels,FISH_GX_BL,1881:V3T27,1,false,204,signal
VAR_FISH_HA_BL,E55_Type,Barrels of herring or alewives produced in the past year,FSH,barrels,FISH_HA_BL,"1871:V1T1,1881:V3T27",2,true,407,signal
VAR_FISH_HP_Q,E55_Type,"Quintals of haddock, hake, or pollock produced in the past year",FSH,quintals,FISH_HP_Q,1881:V3T27,1,false,232,signal
VAR_FISH_HS_LB,E55_Type,Pounds of hake sounds cured in the past year,FSH,pounds,FISH_HS_LB,1871:V1T1,1,false,14,sparse
VAR_FISH_HX_BL,E55_Type,Barrels of halibut produced in the past year,FSH,barrels,FISH_HX_BL,1881:V3T27,1,false,128,signal
VAR_FISH_LX_LB,E55_Type,Pounds of lobster canned in the past year,FSH,pounds,FISH_LX_LB,1881:V3T27,1,false,97,sparse
VAR_FISH_MX_BL,E55_Type,Barrels of mackerel produced in the past year,FSH,barrels,FISH_MX_BL,"1871:V1T1,1881:V3T27",2,true,370,signal
VAR_FISH_NX_F,E55_Type,Fathoms of fishing nets,FSH,fathoms,FISH_NX_F,1881:V3T27,1,false,393,signal
VAR_FISH_OTH_BL,E55_Type,Barrels of other fish produced in the past year,FSH,barrels,FISH_OTH_BL,1881:V3T27,1,false,205,signal
VAR_FISH_OX_G,E55_Type,Gallons of fish oil produced in the past year,FSH,gallons,FISH_OX_G,"1871:V1T1,1881:V3T27",2,true,353,signal
VAR_FISH_OY_BL,E55_Type,Barrels of oysters produced in the past year,FSH,barrels,FISH_OY_BL,1881:V3T27,1,false,62,sparse
VAR_FISH_PC_BL,E55_Type,Barrels of cured fish produced in the past year,FSH,barrels,FISH_PC_BL,1851:V2T6,1,false,171,signal
VAR_FISH_PD_Q,E55_Type,Quintals of dried fish sold in the past year,FSH,quintals,FISH_PD_Q,1861:V2T11,1,false,73,sparse
VAR_FISH_PF_LB,E55_Type,Pounds of fresh fish sold in the past year,FSH,pounds,FISH_PF_LB,1861:V2T11,1,false,100,signal
VAR_FISH_PS_BL,E55_Type,Barrels of salted fish sold in the past year,FSH,barrels,FISH_PS_BL,1861:V2T11,1,false,192,signal
VAR_FISH_SH_BL,E55_Type,Barrels of shad produced in the past year,FSH,barrels,FISH_SH_BL,1881:V3T27,1,false,78,sparse
VAR_FISH_SL_LB,E55_Type,Pounds of preserved shell and other fish produced during the past year,FSH,pounds,FISH_SL_LB,1871:V1T1,1,false,4,sparse
VAR_FISH_SM_N,E55_Type,Number of shoremen,FSH,count,FISH_SM_N,1881:V3T27,1,false,167,signal
VAR_FISH_SN_BL,E55_Type,Barrels of sardines produced in the past year,FSH,barrels,FISH_SN_BL,1881:V3T27,1,false,68,sparse
VAR_FISH_SX_BL,E55_Type,Barrels of salmon produced in the past year,FSH,barrels,FISH_SX_BL,1881:V3T27,1,false,191,signal
VAR_FISH_SX_V,E55_Type,Value of salmon produced in the past year,FSH,dollars,FISH_SX_V,1871:V1T1,1,false,6,sparse
VAR_FISH_TX_BL,E55_Type,Barrels of trout produced in the past year,FSH,barrels,FISH_TX_BL,1881:V3T27,1,false,163,signal
VAR_FISH_VM_N,E55_Type,Number of men on fishing vessels,FSH,persons,FISH_VM_N,1881:V3T27,1,false,166,signal
VAR_FISH_VX_N,E55_Type,Number of fishing vessels,FSH,count,FISH_VX_N,1881:V3T27,1,false,166,signal
VAR_FISH_WX_BL,E55_Type,Barrels of whitefish produced in the past year,FSH,barrels,FISH_WX_BL,1881:V3T27,1,false,26,sparse
VAR_FISH_XE_N,E55_Type,Number of fishing establishments,FSH,count,FISH_XE_N,1871:V1T1,1,false,33,sparse
VAR_BRCK_PX_N,E55_Type,Number of bricks produced in the past year,MFG,establishments,BRCK_PX_N,1871:V1T1,1,false,13,sparse
VAR_BRCK_XX_N,E55_Type,Number of brick kilns,MFG,establishments,BRCK_XX_N,1871:V1T1,1,false,14,sparse
VAR_BRDI_XX_N,E55_Type,Number of breweries and distilleries,MFG,establishments,BRDI_XX_N,1871:V1T1,1,false,10,sparse
VAR_BREW_EX_N,E55_Type,Number of employees in breweries,MFG,persons,BREW_EX_N,1851:V2T7,1,false,102,signal
VAR_BREW_NR_N,E55_Type,Number of breweries not reporting,MFG,establishments,BREW_NR_N,1851:V2T7,1,false,107,signal
VAR_BREW_PX_G,E55_Type,Gallons of beer produced in breweries in the past year,MFG,gallons,BREW_PX_G,1851:V2T7,1,false,107,signal
VAR_BREW_XC_N,E55_Type,Number of breweries returning capital,MFG,establishments,BREW_XC_N,1851:V2T7,1,false,104,signal
VAR_BREW_XR_N,E55_Type,Number of breweries reporting,MFG,establishments,BREW_XR_N,1851:V2T7,1,false,112,signal
VAR_BREW_XX_N,E55_Type,Number of breweries,MFG,establishments,BREW_XX_N,1851:V2T7,1,false,176,signal
VAR_CAR_MISC_N,E55_Type,"Number of riding wagons, carriages, wood sleds, and jaunting sleds",MFG,establishments,CAR_MISC_N,1871:V1T1,1,false,68,sparse
VAR_CAR_SM_N,E55_Type,Number of carriages and sleighs produced in the past year,MFG,establishments,CAR_SM_N,1871:V1T1,1,false,34,sparse
VAR_CAR_XH_N,E55_Type,Number of carriages for hire,MFG,establishments,CAR_XH_N,1861:V2T11,1,false,392,signal
VAR_CAR_XH_V,E55_Type,Value of carriages for hire (dollars),MFG,dollars,CAR_XH_V,1861:V2T11,1,false,373,signal
VAR_CAR_XP_N,E55_Type,Number of carriages for pleasure,MFG,establishments,CAR_XP_N,1861:V2T11,1,false,972,signal
VAR_CAR_XP_V,E55_Type,Value of carriages for pleasure (dollars),MFG,dollars,CAR_XP_V,1861:V2T11,1,false,974,signal
VAR_CFM_EX_N,E55_Type,Number of employees in carding and fulling mills,MFG,persons,CFM_EX_N,1851:V2T7,1,false,443,signal
VAR_CFM_NR_N,E55_Type,Number of carding and fulling mills not reporting,MFG,establishments,CFM_NR_N,1851:V2T7,1,false,350,signal
VAR_CFM_PC_YD,E55_Type,Yards of cloth produced in carding and fulling mills in the past year,MFG,yards,CFM_PC_YD,1851:V2T7,1,false,426,signal
VAR_CFM_PCF_YD,E55_Type,Yards of fulled cloth produced in the past year,MFG,yards,CFM_PCF_YD,"1851:V2T6,1861:V2T11,1871:V1T1",3,true,1732,signal
VAR_CFM_PCNF_YD,E55_Type,Yards of not-fulled cloth produced in the past year,MFG,yards,CFM_PCNF_YD,1871:V1T1,1,false,71,sparse
VAR_CFM_PW_LB,E55_Type,Pounds of wool produced in carding and fulling mills in the past year,MFG,pounds,CFM_PW_LB,1851:V2T7,1,false,482,signal
VAR_CFM_XC_N,E55_Type,Number of carding and fulling mills returning capital,MFG,establishments,CFM_XC_N,1851:V2T7,1,false,532,signal
